time,nb dead,nb package
6815,1,200
9011,2,149
9175,3,80
9358,4,2
12021,5,2
13484,6,2
16642,7,2
20045,8,2
20669,9,2
20864,10,2
20954,11,2
23453,12,2
24477,13,2
25958,14,2
26218,15,2
26232,16,2
27387,17,2
28749,18,2
28955,19,2
30069,20,2
31334,21,2
31576,22,2
31889,23,2
34163,24,2
35287,25,2
37202,26,2
37776,27,2
40566,28,2
40890,29,2
42132,30,2
42839,31,2
43264,32,2
44440,33,2
50359,34,2
51083,35,2
52153,36,2
53428,37,2
56751,38,2
56984,39,2
58165,40,2
59095,41,2
61672,42,2
62683,43,2
64013,44,2
65817,45,2
72995,46,2
74126,47,2
75686,48,2
78369,49,2
78428,50,2
78815,51,2
80903,52,2
81236,53,2
83964,54,2
87254,55,2
88330,56,2
90126,57,2
91443,58,2
102613,59,2
103087,60,2
104862,61,2
106841,62,2
107632,63,2
111203,64,2
114137,65,2
119315,66,2
122561,67,2
122835,68,2
126117,69,2
126212,70,2
126217,71,2
126509,72,2
127382,73,2
127711,74,2
135121,75,2
139244,76,2
139463,77,2
140992,78,2
148152,79,2
152846,80,2
156058,81,2
159243,82,2
167478,83,2
168476,84,2
168839,85,2
170748,86,2
171131,87,2
173123,88,2
178457,89,2
184399,90,2
186188,91,2
189824,92,2
194438,93,2
202394,94,2
203761,95,2
206647,96,2
208726,97,2
210346,98,2
213531,99,2
214265,100,2
216304,101,2
225999,102,2
240822,103,2
256360,104,2
257780,105,2
262613,106,2
262892,107,2
269256,108,2
269609,109,2
275342,110,2
276609,111,2
279993,112,2
286074,113,2
286240,114,2
289321,115,2
290121,116,2
291104,117,2
291176,118,2
292413,119,2
295862,120,2
306108,121,2
321424,122,2
333338,123,2
338337,124,2
344097,125,2
344123,126,2
361360,127,2
364627,128,2
369575,129,2
400297,130,2
405229,131,2
409932,132,2
416179,133,2
430604,134,2
434093,135,2
443967,136,2
445617,137,2
448459,138,2
448773,139,2
489426,140,2
524443,141,2
526572,142,2
528731,143,2
585309,144,2
597713,145,2
609820,146,2
615600,147,2
639114,148,2
646803,149,2
655771,150,2
659834,151,2
670455,152,2
684001,153,2
690080,154,2
712129,155,2
713827,156,2
726641,157,2
747008,158,2
759409,159,2
799893,160,2
804552,161,2
830185,162,2
837003,163,2
838524,164,2
871305,165,2
873831,166,2
902747,167,2
956884,168,2
982613,169,2
995909,170,2
